lead_id,marketplace_id,marketplace_car_id,used_dealer_company_id,dealer_id,car_brand,car_model,car_variant,car_engine,car_year,car_transmission,reserveprice
930081,141255,290419,5324,5432,nissan,juke,rx,1.5,2012,Auto,110000000
933978,141263,292381,4471,4579,daihatsu,gran max,d,1.3,2018,Auto,113000000
931733,141258,291036,5551,5659,daihatsu,terios,tx,1.5,2012,Manual,95000000
935112,141267,292852,4471,4579,toyota,camry,v,2.4,2007,Auto,60000000
931085,141258,291176,2625,2698,nissan,march,xs,1.2,2017,Manual,85000000
942503,141281,295711,1735,1784,mitsubishi,pajero sport,dakar,2.5,2014,Auto,270000000
939850,141278,295216,4678,4786,honda,city,i-dsi,1.5,2007,Manual,80000000
927376,141248,288889,5129,5237,honda,cr-v,2wd,2.4,2010,Auto,95000000
943452,141284,296358,4672,4780,wuling,confero,s l,1.5,2017,Manual,80000000
939594,141283,296340,5628,5736,toyota,kijang innova,g,2,2020,Auto,280000000
927739,141248,288923,4797,4905,toyota,fortuner,g,2.5,2010,Manual,139000000
929573,141255,290464,4548,4656,toyota,kijang innova,v,2.4,2016,Auto,239500000
941098,141286,296808,1136,1185,toyota,calya,g,1.2,2012,Manual,60000000
916645,141258,291135,1735,1784,toyota,yaris,s ltd,1.5,2011,Auto,89500000
936107,141272,294105,4562,4670,honda,jazz,rs,1.5,2008,Auto,85000000
705391,141274,294399,4279,4387,honda,elysion,i-vtec,2.4,2005,Auto,50000000
930671,141255,290431,4279,4387,mazda,biante,skyactiv,2,2014,Auto,150000000
939266,141276,294776,3470,3568,kia,sedona,no variant,2.2,2019,Auto,345000000
942475,141290,297815,5317,5425,toyota,avanza,g,1.3,2016,Manual,115000000
943361,141283,296220,5628,5736,toyota,avanza,veloz,1.5,2018,Auto,145000000
921487,141301,299789,1407,1456,toyota,calya,g,1.2,2018,Auto,85000000
943696,141283,296339,4378,4486,volkswagen,polo,gt tsi,1.2,2015,Auto,115000000
941306,141281,295733,4876,4984,nissan,grand livina,xv,1.5,2008,Auto,40000000
943993,141287,297047,4608,4716,mazda,cx-5,touring,2.5,2015,Auto,188000000
926421,141258,288545,5537,5645,bmw,3,20i (ckd),2,2019,Auto,320000000
942761,141283,296331,4519,4627,toyota,kijang innova,g,2.4,2019,Auto,280000000
933316,141272,294074,5281,5389,chevrolet,trailblazer,ltz,2.5,2017,Auto,230000000
945050,141286,296951,5628,5736,honda,br-v,e,1.5,2016,Manual,140000000
940071,141279,295480,5281,5389,toyota,rush,s,1.5,2013,Auto,110000000
942141,141296,298653,1101,1149,toyota,avanza,g,1.3,2005,Manual,55000000
929603,141254,290021,2625,2698,honda,cr-v,prestige,2.4,2014,Auto,180000000
937632,141282,295890,5033,5141,toyota,fortuner,g trd,2.5,2013,Auto,170000000
927443,141247,288639,1865,1914,wuling,confero,s act lux,1.5,2018,Manual,65000000
943518,141285,296642,5230,5338,toyota,calya,g,1.2,2017,Auto,85000000
935297,141271,293707,5167,5275,toyota,alphard,g,2.4,2015,Auto,620000000
930812,141282,296011,5262,5370,honda,cr-v,2wd,2,2012,Manual,170000000
949702,141301,299792,1980,2029,honda,mobilio,s,1.5,2017,Auto,129000000
935882,141269,293251,4310,4418,toyota,vios,g,1.5,2012,Manual,50000000
929211,141256,290632,4532,4640,mitsubishi,pajero sport,exceed,2.5,2013,Auto,239500000
914595,141255,290280,978,1004,chevrolet,trax,turbo ltz,1.4,2017,Auto,115000000
925953,141284,296370,5215,5323,toyota,kijang innova,g,2,2011,Manual,130000000
944818,141285,296718,5029,5137,isuzu,panther,grand touring,2.5,2014,Manual,150000000
937708,141276,294798,4919,5027,toyota,harrier,240 g,2.4,2010,Auto,120000000
930464,141255,290415,1865,1914,mitsubishi,triton,dc gls 4x4,2.4,2019,Manual,285000000
808872,141263,292231,5525,5153,toyota,fortuner,vrz,2.4,2016,Auto,305000000
946302,141294,298168,1580,1629,mitsubishi,xpander,sport,1.5,2018,Auto,175000000
943518,141285,296642,4294,4402,honda,brio,satya e,1.2,2017,Auto,85000000
944378,141285,296724,4596,4704,toyota,innova,v diesel,2.5,2014,Auto,130000000
929211,141256,290632,5192,5340,mitsubishi,pajero,d exceed,2.5,2013,Auto,239500000
931889,141258,291063,1718,1767,honda,hr-v,mugen prestige,1.8,2017,Auto,210000000
936192,141268,293389,5372,5480,toyota,fortuner,g trd,2.5,2013,Auto,170000000
928398,141265,292684,4344,4452,toyota,sienta,v,1.5,2018,Auto,170000000
928777,141251,289554,4131,4239,toyota,avanza,g,1.3,2017,Auto,120000000
940548,141277,295116,4608,4716,suzuki,ertiga,gx,1.4,2013,Manual,108000000
929796,141254,290091,4472,4580,mitsubishi,pajero,d exceed,2.5,2013,Auto,210000000
927540,141253,289942,3618,3726,toyota,rush,s,1.5,2009,Auto,40000000
942345,141281,295753,1136,1185,toyota,vellfire,g,2.4,2013,Auto,400000000
941110,141284,296491,3774,3882,toyota,fortuner,vrz 4x2,2.4,2019,Auto,400000000
940796,141300,299726,1580,1629,bmw,3,20i (ckd),2,2012,Auto,150000000
931595,141261,291915,4279,4387,toyota,harrier,240 g,2.4,2012,Auto,120000000
926308,141260,291587,5147,5252,wuling,almaz,lt lux + sc cvt,1.5,2019,Auto,230000000
927202,141249,289099,1580,1629,land rover,range rover evoque,no variant,2,2012,Auto,400000000
931098,141258,291090,4591,4699,toyota,kijang innova,g,2.4,2018,Auto,268000000
938080,141270,294736,3203,3295,toyota,kijang innova,g-n140,2,2016,Auto,89500000
946661,141301,299902,4296,4404,volkswagen,tiguan,tsi,1.4,2019,Auto,410000000
930136,141258,291242,2625,2698,wuling,confero,s act lux,1.5,2016,Manual,70000000
928368,141253,289841,4351,4459,honda,brio,satya e,1.2,2018,Auto,99000000
929211,141256,290632,5081,5189,mitsubishi,pajero sport,dakar,2.5,2013,Auto,239500000
928580,141254,290131,5628,5736,honda,brio,satya e,1.2,2019,Manual,108000000
937496,141276,294905,3761,3869,toyota,kijang innova,v,2,1994,Auto,25000000
944695,141287,297200,4471,4579,nissan,juke,rx,1.5,2012,Auto,103000000
943498,141285,296658,4251,4359,toyota,avanza,g,1.3,2016,Auto,99500000
946849,141292,298339,5392,5500,mazda,biante,skyactiv,2,2017,Auto,200000000
949730,141299,299475,5256,5364,mitsubishi,xpander,ultimate,1.5,2018,Auto,100000000
939063,141273,292391,3374,3468,toyota,kijang innova,g,2.4,2018,Auto,310000000
937124,141269,293346,5215,5323,honda,jazz,i-dsi,1.5,2010,Auto,100000000
935365,141268,293113,1136,1185,mazda,cx-9,no variant,3.7,2012,Auto,120000000
933316,141272,294074,5033,5141,chevrolet,x-over,no variant,1.5,2017,Auto,230000000
931889,141258,291063,2625,2698,toyota,voxy,no variant,2,2018,Auto,210000000
939008,141267,293051,4786,4894,toyota,avanza,veloz,1.5,2014,Auto,95000000
946440,141289,297564,978,1004,toyota,fortuner,vrz,2.4,2001,Auto,190000000
926496,141249,289194,3738,3846,toyota,avanza,veloz,1.3,2015,Manual,110000000
941851,141281,295688,5461,5569,toyota,kijang innova,v lux,2,2005,Manual,70000000
943351,141286,296770,5378,5486,honda,hr-v,e plus,1.5,2017,Auto,204000000
927495,141251,289574,4900,5008,honda,jazz,rs,1.5,2017,Auto,179500000
923489,141248,288792,2202,5628,hyundai,grand avega,gl,1.4,2011,Auto,61000000
947519,141297,299060,1166,1215,peugeot,207,no variant,1.6,2017,Auto,70000000
940592,141282,295977,5153,5261,nissan,serena,highway star,2,2015,Auto,158000000
937736,141273,294232,4364,4472,honda,br-v,e prestige,1.5,2018,Auto,169000000
931070,141258,291041,4954,5062,toyota,yaris,g,1.5,2015,Auto,148000000
937188,141273,294294,5128,5236,toyota,kijang innova,g,2.5,2011,Auto,145000000
941147,141277,295037,1101,1149,suzuki,ertiga,dreza,1.4,2018,Auto,99000000
498582,141276,294872,4306,4414,bmw,3,18i,2,2003,Auto,50000000
927288,141275,294553,3761,3869,toyota,camry,hybrid,2.5,2009,Auto,125000000
926428,141258,291215,5205,5313,toyota,kijang innova,v,2,2016,Auto,220000000
927349,141251,289620,4919,5027,toyota,kijang innova,reborn g,2,2018,Manual,210000000
943757,141261,291861,5205,5313,toyota,harrier,240 g,2.4,2013,Auto,120000000
933379,141263,292141,4344,4452,toyota,kijang innova,reborn g,2,2018,Manual,210000000
940027,141292,298354,4579,4687,toyota,kijang innova,g,2.5,2014,Auto,140000000
924790,141264,292606,2685,2759,honda,cr-v,2wd,2,2013,Auto,98000000
945552,141289,297526,5167,5275,bmw,x3,xdrive20i (ckd),2,2016,Auto,400000000
935029,141265,292683,3590,3698,toyota,yaris,j,1.5,2012,Manual,93000000
940778,141278,295240,5628,5736,suzuki,ertiga,sport gt,1.5,2018,Auto,149500000
944614,141286,296814,4220,4328,toyota,c-hr,single tone,1.8,2019,Auto,300000000
947702,141298,299272,3362,3456,isuzu,mu-7,tfr85hg,3,2010,Auto,99500000
945163,141289,297562,1658,1707,wuling,almaz,lt lux + sc cvt,1.5,2019,Auto,370000000
938044,141277,295151,4709,4817,suzuki,apv,luxury,1.5,2020,Manual,130000000
941208,141277,295061,431,417,honda,brio,e,1.2,2017,Manual,95000000
940885,141277,295095,3618,3726,mazda,2,v,1.5,2013,Auto,50000000
937556,141274,294516,4351,4459,ford,fiesta,sport,1.6,2013,Manual,30000000
950081,141300,299592,4229,4337,honda,jazz,rs,1.5,2016,Auto,159500000
946248,141290,297819,5454,5562,honda,mobilio,s,1.5,2015,Manual,100000000
940745,141277,294613,2459,2517,honda,hr-v,e,1.5,2017,Auto,159500000
945552,141289,297526,4519,4627,bmw,3,20i,2,2016,Auto,400000000
946858,141291,298101,4617,4725,honda,hr-v,e,1.5,2015,Auto,170000000
946612,141291,298180,4472,4580,suzuki,karimun,dx,1,2015,Manual,40000000
935294,141265,292824,4279,4387,mazda,6,no variant,2.5,2014,Auto,185000000
929303,141253,289898,4279,4387,kia,sedona,no variant,2.2,2019,Auto,345000000
930924,141271,293779,3618,3726,toyota,avanza,g,1.3,2016,Manual,116000000
928820,141251,289619,4279,4387,toyota,rush,s trd sportivo,1.5,2019,Auto,200000000
937124,141269,293409,684,693,honda,cr-v,2wd,2.4,2010,Auto,100000000
950043,141300,299601,3362,3456,mazda,biante,skyactiv,2,2016,Auto,170000000
934687,141265,292680,4276,4384,honda,cr-v,no variant,2,2005,Auto,50000000
935296,141273,294350,2991,3073,daihatsu,gran max,box,1.5,2011,Manual,75500000
936876,141272,293684,4394,4509,honda,cr-v,2wd,2.4,2010,Auto,90000000
943332,141287,297193,4310,4418,toyota,avanza,e,1.3,2019,Manual,70000000
925602,141251,289631,3774,3882,toyota,vellfire,z,2.4,2013,Auto,350000000
940818,141286,296772,4567,4675,mitsubishi,pajero sport,dakar,2.5,2009,Auto,160000000
943485,141284,296527,1580,1629,nissan,terra,vl,2.5,2018,Auto,365500000
928092,141257,290782,1166,1215,daihatsu,xenia,r,1.3,2017,Manual,105000000
947216,141294,298481,4385,4493,toyota,kijang,lgx,1.8,2003,Manual,30000000
925256,141256,290626,4795,4903,toyota,fortuner,g trd,2.5,2013,Manual,210000000
931736,141258,291032,1175,1224,suzuki,x-over,no variant,1.5,2011,Auto,30000000
948462,141298,299298,3844,3952,honda,br-v,e prestige,1.5,2017,Auto,145500000
940638,141277,295166,3362,3456,bmw,x1,sdrive18i,1.5,2017,Auto,400000000
932706,141259,291492,4839,4947,toyota,kijang innova,g,2,2021,Manual,250000000
942131,141281,295716,5525,5633,chevrolet,trailblazer,ls,2.8,2012,Auto,110000000
930643,141259,291347,4330,4438,toyota,alphard,no variant,3.5,2012,Auto,200000000
935893,141267,292896,5347,5455,nissan,x-trail,no variant,2.5,2014,Auto,170000000
927397,141249,289091,4797,4905,toyota,avanza,veloz,1.5,2021,Auto,240000000
943944,141287,297186,1221,590,toyota,vios,g,1.5,2010,Manual,74000000
920557,141255,290418,5278,5386,nissan,juke,no variant,1.5,2011,Auto,95000000
928368,141253,289841,5550,5658,nissan,march,no variant,1.2,2018,Auto,99000000
845513,141301,299796,5006,5114,honda,cr-v,2wd,2.4,2012,Auto,150000000
931306,141259,291284,5406,5514,mitsubishi,outlander sport,px,2,2013,Auto,145000000
930853,141257,290969,5367,5475,toyota,kijang innova,g,2,2013,Manual,130000000
944519,141287,297226,5672,5780,nissan,x-trail,st autech,2.5,2015,Manual,100000000
94189,141282,295189,5098,5206,mazda,biante,skyactiv,2,2014,Auto,135000000
931836,141258,291074,3780,3888,wuling,cortez,c t lux,1.5,2020,Auto,500000000
937578,141292,298308,2855,2934,toyota,avanza,veloz,1.5,2017,Auto,129500000
942427,141282,295980,4277,4385,volkswagen,tiguan,tsi allspace,1.4,2015,Auto,130000000
947216,141294,298481,5406,5514,honda,cr-v,2wd,2,2009,Auto,57000000
934845,141277,295115,5511,5619,daihatsu,sigra,m,1,2019,Auto,855000000
944801,141285,296607,2624,2697,toyota,limo,no variant,1.5,2011,Manual,30000000
935473,141267,293321,5441,5549,toyota,kijang innova,g,2.4,2009,Auto,125000000
945747,141289,297692,1658,1707,hyundai,h-1,crdi,2.5,2018,Auto,189500000
935107,141265,292652,2855,2934,toyota,kijang innova,reborn g,2,2017,Auto,270000000
938010,141273,294325,5192,5300,mercedes-benz,b,200 urban,1.6,2014,Auto,170000000
919317,141248,288770,4977,5085,toyota,kijang innova,g,2,2014,Manual,92000000
919570,141249,289127,5281,5389,mitsubishi,xpander,ultimate,1.5,2018,Auto,197000000
925653,141249,289175,1580,1629,toyota,voxy,no variant,2,2019,Auto,389000000
944783,141288,297326,3160,3252,toyota,kijang innova,v,2,2015,Manual,189000000
871465,141270,293610,4259,4367,chevrolet,captiva,no variant,2,2008,Auto,73000000
949692,141298,299304,1658,1707,mitsubishi,xpander,ultimate,1.5,2018,Auto,199000000
931861,141264,292475,1580,1629,toyota,kijang innova,reborn v,2.4,2017,Auto,346500000
944783,141288,297326,3470,3568,toyota,kijang innova,g-n140,2,2015,Manual,189000000
944783,141288,297326,3362,3456,toyota,kijang innova,g-n140,2,2015,Manual,189000000
925578,141248,288930,4356,4464,mitsubishi,pajero sport,dakar,2.5,2016,Auto,370000000
926987,141251,289525,4954,5062,kia,rio,se,1.4,2014,Auto,89000000
928986,141256,290537,4795,4903,honda,cr-v,turbo,1.5,2017,Auto,310000000
940818,141277,295169,4356,4464,honda,mobilio,e,1.5,2017,Auto,120000000
201939,141274,294428,1101,1149,kia,rio,se,1.4,2014,Auto,90000000
934299,141287,297198,5589,5697,honda,civic,tc e,1.5,2016,Auto,100000000
941747,141296,298587,4344,4452,suzuki,sx4,s-cross,1.5,2016,Auto,1500000
943945,141289,295296,2624,2697,honda,city,e,1.5,2014,Auto,125000000
944856,141297,298994,4919,5027,honda,hr-v,s,1.5,2016,Auto,179500000
926918,141248,288805,5551,5659,honda,city,rs,1.5,2016,Auto,150000000
934925,141265,292698,5167,5275,ford,everest,xs,2.5,2013,Manual,100000000
930781,141257,290986,5264,5372,daihatsu,ayla,x,1,2015,Manual,60000000
924055,141249,289126,4279,4387,suzuki,ertiga,gl,1.5,2020,Auto,140000000
927944,141250,289404,4394,4502,honda,jazz,rs,1.5,2018,Auto,360000000
938832,141276,294871,4608,4716,toyota,kijang super,kf 42 short,1.8,2003,Manual,50000000
948478,141296,298593,5628,5736,mercedes-benz,c,200 cgi (ckd),1.8,2012,Auto,500000000
867667,141261,291877,5511,5619,mercedes-benz,gle,400 4matic (ckd),3,2013,Auto,200000000
927751,141265,292685,4276,4384,mitsubishi,pajero sport,exceed,2.5,2010,Auto,150000000
946203,141296,298639,3362,3456,toyota,alphard,s,2.4,2012,Auto,240000000
938896,141284,296456,5278,5386,suzuki,ertiga,gl,1.5,2012,Manual,80000000
932678,141259,291399,3055,3138,nissan,march,l,1.2,2011,Auto,95000000
924152,141292,298246,3774,3882,nissan,grand livina,ultimate,1.5,2010,Manual,50000000
926589,141278,295206,1580,1629,mercedes-benz,e,300 (ckd),3,2012,Auto,250000000
944240,141285,296705,4709,4817,chevrolet,trax,turbo ltz,1.4,2018,Auto,189500000
931454,141261,292013,5278,5386,toyota,hilux,double cabin g 4x4,2.5,2011,Manual,110000000
927438,141256,290650,2625,2698,daihatsu,terios,tx,1.5,2013,Manual,100000000
933419,141263,292328,4461,4569,toyota,calya,g,1.2,2018,Auto,85000000
937691,141281,295877,4471,4579,honda,brio,satya e,1.2,2016,Manual,107000000
945932,141294,298473,4617,3535,toyota,camry,v,2.4,2010,Auto,50000000
923298,141249,289121,4797,4905,toyota,calya,g,1.2,2017,Auto,79000000
932859,141260,291583,5388,5491,mitsubishi,xpander,ultimate,1.5,2018,Auto,150000000
939901,141281,295673,4605,4713,toyota,kijang,lgx,1.8,2002,Manual,30000000
204498,141288,297381,1473,1522,mitsubishi,pajero sport,exceed,2.5,2015,Auto,265000000
944806,141297,298995,4471,4579,honda,mobilio,s,1.5,2016,Manual,100000000
945601,141292,298366,4277,4385,suzuki,ertiga,gl,1.4,2013,Manual,100000000
943356,141284,296371,4279,4387,mitsubishi,delica,royal,2,2016,Auto,170000000
582871,141294,298458,5281,5389,honda,freed,s,1.5,2012,Auto,95000000
931733,141258,291032,4957,5065,toyota,agya,g trd,1,2018,Manual,77000000
925602,141251,289631,3774,3882,toyota,vellfire,z,2.4,2013,Auto,350000000
926987,141251,289555,1718,1767,toyota,fortuner,g,2.7,2014,Auto,220000000
943660,141285,296701,4472,4580,suzuki,carry,fd pick up,1.5,2011,Manual,60000000
589658,141259,289998,3362,3456,toyota,kijang innova,v,2,2011,Manual,30000000
940974,141279,295535,4672,4780,toyota,limo,no variant,1.5,2011,Manual,70000000
948903,141298,299286,2133,2182,toyota,avanza,g,1.3,2014,Auto,89000000
950092,141301,299819,1535,1584,mercedes-benz,e,280,3,2007,Auto,100000000
927944,141250,289404,4471,4579,mitsubishi,pajero,dakar ultimate 4x2,2.4,2018,Auto,360000000
934846,141267,292918,3203,3295,honda,jazz,rs,1.5,2019,Auto,299000000
926496,141249,289156,1473,1522,toyota,avanza,g,1.3,2015,Manual,88500000
927570,141247,288669,1221,1270,mazda,cx-3,no variant,2,2020,Auto,435000000
928450,141251,289595,4567,4675,peugeot,207,no variant,1.6,2012,Auto,60000000
937378,141274,294390,2625,2698,toyota,avanza,e,1.3,2015,Manual,89000000
927600,141250,289303,1580,1629,suzuki,ertiga,gl,1.4,2018,Manual,125000000
935499,141271,293864,3774,3882,toyota,alphard,sc,2.5,2016,Auto,775000000
929999,141258,291079,4956,5063,honda,brio,s,1.2,2017,Auto,125000000
926158,141272,293889,4315,4423,mazda,2,gt,1.5,2017,Auto,109000000
942475,141290,297815,1473,1522,suzuki,ertiga,gx,1.4,2016,Manual,115000000
941747,141296,298587,5268,5371,suzuki,sx4,s-cross,1.5,2016,Auto,1500000
927495,141251,289562,5619,5727,honda,jazz,rs,1.5,2017,Auto,179500000
932067,141267,292855,2855,2934,toyota,yaris,e,1.5,2012,Manual,80000000
941774,141283,296163,4318,4426,toyota,vios,g,1.5,2012,Auto,50000000
931738,141258,291036,4450,4558,nissan,grand livina,sv,1.5,2012,Auto,30000000
935499,141271,293864,3419,3517,toyota,alphard,sc,2.5,2016,Auto,775000000
935882,141269,293251,4786,4894,toyota,vios,g,1.5,2012,Manual,50000000
944892,141287,297101,1166,1215,toyota,fortuner,vrz trd,2.4,2019,Auto,365000000
94538,141287,296650,4954,5062,suzuki,ertiga,dreza,1.4,2017,Auto,113500000
949767,141300,299715,3419,3517,toyota,kijang innova,e,2,2012,Manual,135000000
945712,141299,299396,5469,5577,mitsubishi,pajero sport,dakar 4x2,2.4,2017,Auto,400000000
926047,141247,288705,4461,4569,honda,hr-v,e,1.5,2015,Auto,170000000
943356,141285,296745,2625,2698,mitsubishi,delica,royal,2,2016,Auto,170000000
939990,141275,294554,5312,5210,honda,jazz,rs,1.5,2012,Auto,113000000
931813,141261,291964,1580,1629,toyota,calya,g,1.2,2016,Auto,89500000
928986,141256,290537,4797,4905,honda,cr-v,turbo,1.5,2017,Auto,310000000
932411,141263,292330,4351,4459,wuling,cortez,t lux,1.5,2020,Auto,150000000
950913,141300,299553,4277,4385,toyota,alphard,g,2.5,2019,Auto,800000000
930135,141256,290616,4229,4337,toyota,yaris,g,1.5,2017,Auto,100000000
943518,141285,296642,4477,4585,toyota,calya,g,1.2,2017,Auto,85000000
931417,141270,293602,4320,4428,toyota,yaris,g,1.5,2014,Auto,155000000
949019,141296,298796,5312,5420,toyota,yaris,g,1.5,2014,Manual,100000000
937831,141279,295373,3112,3203,honda,cr-v,no variant,2.4,2005,Auto,50000000
949019,141296,298796,3554,3662,toyota,avanza,g,1.3,2014,Manual,70000000
939745,141275,294558,4248,4356,honda,brio,satya e,1.2,2018,Auto,120000000
941363,141283,296282,4385,4493,toyota,calya,g,1.2,2018,Auto,105000000
926910,141247,288631,4279,4387,toyota,yaris,trd sportivo,1.5,2015,Auto,110000000
938454,141287,297225,5441,5549,toyota,rush,s,1.5,2010,Manual,80000000
950135,141301,299845,1735,1784,mitsubishi,outlander sport,px,2,2014,Auto,150000000
944892,141287,297101,5582,5690,toyota,fortuner,vrz trd,2.4,2019,Auto,365000000
933322,141263,292324,3160,3252,mercedes-benz,e,330 d,3.2,2010,Auto,200000000
941945,141281,295673,3618,3726,honda,brio,rs,1.2,2020,Auto,149500000
929090,141258,291027,2625,2698,mazda,cx-3,sport,1.5,2021,Auto,250000000
932331,141265,292686,3590,3698,nissan,grand livina,ultimate,1.5,2009,Auto,55000000
659627,141253,289906,3788,3896,nissan,grand livina,xv,1.5,2013,Auto,49500000
937600,141271,293786,3346,3440,honda,br-v,e prestige,1.5,2016,Auto,139000000
943696,141283,296278,2560,2632,toyota,agya,g trd,1,2015,Auto,50000000
930045,141256,290591,4591,4699,toyota,avanza,g,1.3,2011,Manual,70000000
905317,141294,298547,3829,4500,mazda,cx-5,touring,2,2012,Auto,155000000
927443,141247,288632,621,619,nissan,livina,x-gear,1.5,2011,Manual,60000000
949437,141298,299289,4797,4905,wuling,confero,s l,1.5,2018,Manual,80000000
932339,141261,291968,2459,2517,mitsubishi,outlander sport,px,2,2014,Auto,165000000
940296,141287,297110,2418,2252,honda,hr-v,e,1.5,2016,Auto,190000000
931580,141258,291018,4277,4386,suzuki,swift,gx,1.4,2013,Manual,75000000
926671,141260,291663,615,612,bmw,3,20i (ckd),2,2020,Auto,700000000
948561,141298,299300,3362,3456,mazda,biante,skyactiv,2,2017,Auto,200000000
927100,141263,292332,3774,3882,bmw,x1,sdrive18i,1.5,2020,Auto,500000000
944722,141287,297024,2560,2632,toyota,avanza,g,1.3,2013,Auto,70000000
945932,141294,298483,5456,5564,toyota,camry,v,2.4,2010,Auto,50000000
935667,141267,292956,4279,4387,honda,brio,satya e,1.2,2020,Auto,109500000
939859,141276,294922,2855,2934,suzuki,carry,fd pick up,1.5,2012,Auto,75000000
929603,141254,294021,4797,4905,honda,cr-v,prestige,2.4,2014,Auto,180000000
933316,141272,294074,4919,5027,chevrolet,trax,turbo ltz,1.4,2017,Auto,230000000
940464,141287,296982,3346,3440,mitsubishi,xpander,exceed,1.5,2018,Auto,195000000
936676,141281,295589,2905,2986,suzuki,apv,sgx luxury,1.5,2008,Auto,50000000
927100,141263,292332,5222,5330,bmw,x1,sdrive18i,1.5,2020,Auto,500000000
939586,141292,298356,1101,1149,honda,brio,satya e,1.2,2018,Auto,105000000
947605,141291,297995,4992,5100,mini,cooper countryman,s,1.6,2013,Auto,350000000
947219,141294,298445,4277,4385,toyota,camry,v,2.4,2009,Auto,125000000
937697,141270,293588,978,1004,toyota,fortuner,vrz 4x2,2.4,2017,Auto,370000000
937754,141272,293944,4330,4438,bmw,x3,xdrive20i xline,2,2012,Auto,145000000
947701,141298,299272,856,874,bmw,3,20i e90 (ckd),2,2010,Auto,99000000
